ReadID	Reference	ReadLength
SRR27421012.67403	NC_012157.1	7580
SRR27421012.59841	NC_012157.1	7026
SRR27421012.2052	NC_012157.1	7999
SRR27421012.75082	NC_012157.1	6043
SRR27421012.120895	NC_012157.1	6857
SRR27421012.113339	NC_012157.1	8282
SRR27421012.119732	NC_012157.1	7306
SRR27421012.15432	NC_012157.1	8406
SRR27421012.92248	NC_012157.1	6960
SRR27421012.124272	NC_012157.1	7159
SRR27421012.38464	NC_012157.1	6039
SRR27421012.16165	NC_012157.1	6162
SRR27421012.126239	NC_012157.1	7514
SRR27421012.158436	NC_012157.1	5445
SRR27421012.158205	NC_012157.1	5408
SRR27421012.120677	NC_012157.1	7364
SRR27421012.168660	NC_012157.1	5509
SRR27421012.119431	NC_012157.1	5906
SRR27421012.123431	NC_012157.1	5663
SRR27421012.144880	NC_012157.1	5160
SRR27421012.30746	NC_012157.1	5101
SRR27421012.105669	NC_012157.1	6428
SRR27421012.146911	NC_012157.1	15274
SRR27421012.132711	NC_012157.1	5279
SRR27421012.60463	NC_012157.1	8159
SRR27421012.12286	NC_012157.1	7314
SRR27421012.41170	NC_012157.1	6125
SRR27421012.115173	NC_012157.1	8385
SRR27421012.139306	NC_012157.1	7700
SRR27421012.87910	NC_012157.1	6284
SRR27421012.6487	NC_012157.1	5765
SRR27421012.9754	NC_012157.1	5647
SRR27421012.50769	NC_012157.1	5346
SRR27421012.9941	NC_012157.1	5671
SRR27421012.116295	NC_012157.1	6771
SRR27421012.102628	NC_012157.1	6840
SRR27421012.106501	NC_012157.1	6479
SRR27421012.172104	NC_012157.1	5404
SRR27421012.9781	NC_012157.1	9899
SRR27421012.112627	NC_012157.1	5134
SRR27421012.165407	NC_012157.1	6364
SRR27421012.137017	NC_012157.1	6219
SRR27421012.151393	NC_012157.1	5837
SRR27421012.116384	NC_012157.1	5879
SRR27421012.97454	NC_012157.1	5257
SRR27421012.106064	NC_012157.1	5348
SRR27421012.17266	NC_012157.1	7780
SRR27421012.31368	NC_012157.1	6825
SRR27421012.160762	NC_012157.1	5293
SRR27421012.153915	NC_012157.1	5757
SRR27421012.13469	NC_012157.1	5342
SRR27421012.18293	NC_012158.1	10127
SRR27421012.21341	NC_012158.1	33035
SRR27421012.27985	NC_012158.1	28451
SRR27421012.37256	NC_012158.1	18410
SRR27421012.44464	NC_012158.1	7104
SRR27421012.46559	NC_012158.1	31100
SRR27421012.50738	NC_012158.1	31018
SRR27421012.54493	NC_012158.1	10069
SRR27421012.57398	NC_012158.1	5436
SRR27421012.58776	NC_012158.1	20397
SRR27421012.62908	NC_012158.1	14719
SRR27421012.91726	NC_012158.1	34854
SRR27421012.113834	NC_012158.1	8099
SRR27421012.115874	NC_012158.1	30616
SRR27421012.116393	NC_012158.1	31019
SRR27421012.118489	NC_012158.1	28349
SRR27421012.123242	NC_012158.1	35573
SRR27421012.141564	NC_012158.1	28314
SRR27421012.145940	NC_012158.1	6997
SRR27421012.146593	NC_012158.1	14051
SRR27421012.151406	NC_012158.1	28796
SRR27421012.165599	NC_012158.1	19437
SRR27421012.167622	NC_012158.1	7152
SRR27421012.4667	NC_012158.1	26964
SRR27421012.5474	NC_012158.1	27258
SRR27421012.5629	NC_012158.1	6686
SRR27421012.24696	NC_012158.1	13858
SRR27421012.29208	NC_012158.1	15369
SRR27421012.30190	NC_012158.1	9542
SRR27421012.33887	NC_012158.1	14796
SRR27421012.40124	NC_012158.1	31634
SRR27421012.54655	NC_012158.1	10954
SRR27421012.57397	NC_012158.1	5445
SRR27421012.59243	NC_012158.1	10925
SRR27421012.70371	NC_012158.1	14259
SRR27421012.70821	NC_012158.1	16585
SRR27421012.76274	NC_012158.1	10424
SRR27421012.89865	NC_012158.1	29071
SRR27421012.94713	NC_012158.1	12869
SRR27421012.97572	NC_012158.1	9621
SRR27421012.99687	NC_012158.1	34717
SRR27421012.101139	NC_012158.1	8478
SRR27421012.102547	NC_012158.1	9662
SRR27421012.104155	NC_012158.1	27898
SRR27421012.106453	NC_012158.1	32058
SRR27421012.111064	NC_012158.1	9565
SRR27421012.111766	NC_012158.1	8095
SRR27421012.132268	NC_012158.1	14211
SRR27421012.165856	NC_012158.1	31054
SRR27421012.173047	NC_012158.1	6844
SRR27421012.175499	NC_012158.1	16173
SRR27421012.139438	NC_012158.1	32330
SRR27421012.160944	NC_012158.1	31550
SRR27421012.168108	NC_012158.1	6149
SRR27421012.74795	NC_012158.1	6953
SRR27421012.110314	NC_012158.1	32568
SRR27421012.58909	NC_012158.1	5139
SRR27421012.137918	NC_012158.1	33299
SRR27421012.53447	NC_012158.1	5234
SRR27421012.65643	NC_012158.1	32299
SRR27421012.58896	NC_012158.1	8158
SRR27421012.138378	NC_012158.1	59347
SRR27421012.84636	NC_012158.1	9461
SRR27421012.62394	NC_012158.1	12817
SRR27421012.100824	NC_012158.1	5852
SRR27421012.26741	NC_012158.1	9253
SRR27421012.39479	NC_012158.1	17643
SRR27421012.104302	NC_012158.1	28797
SRR27421012.163879	NC_012158.1	5829
SRR27421012.123019	NC_012158.1	9417
SRR27421012.12016	NC_012158.1	6632
SRR27421012.175055	NC_012158.1	5684
SRR27421012.42710	NC_012158.1	6980
SRR27421012.106949	NC_012158.1	14523
SRR27421012.159797	NC_012158.1	27799
SRR27421012.77468	NC_012158.1	9599
SRR27421012.111941	NC_012158.1	9860
SRR27421012.1100	NC_012158.1	36824
SRR27421012.52241	NC_012158.1	16088
SRR27421012.100435	NC_012158.1	6809
SRR27421012.152994	NC_012158.1	9721
SRR27421012.176050	NC_012158.1	10425
SRR27421012.164151	NC_012158.1	9244
SRR27421012.109423	NC_012158.1	6919
SRR27421012.128591	NC_012158.1	8376
SRR27421012.66509	NC_012158.1	7603
SRR27421012.127390	NC_012158.1	9676
SRR27421012.73392	NC_012158.1	10100
SRR27421012.170941	NC_012158.1	5557
SRR27421012.172774	NC_012158.1	5354
SRR27421012.81053	NC_012158.1	9797
SRR27421012.43422	NC_012158.1	9883
SRR27421012.13439	NC_012158.1	9208
SRR27421012.85047	NC_012158.1	9175
SRR27421012.84161	NC_012158.1	12792
SRR27421012.161262	NC_012158.1	7632
SRR27421012.143602	NC_012158.1	7119
SRR27421012.159509	NC_012158.1	7480
SRR27421012.71449	NC_012158.1	9769
SRR27421012.124386	NC_012158.1	6079
SRR27421012.83493	NC_012158.1	9371
SRR27421012.21104	NC_012158.1	5413
SRR27421012.20779	NC_012158.1	5456
SRR27421012.112589	NC_012158.1	6861
SRR27421012.84377	NC_012158.1	9309
SRR27421012.35940	NC_012158.1	17430
SRR27421012.62668	NC_012158.1	12819
SRR27421012.52412	NC_012158.1	7489
SRR27421012.134470	NC_012158.1	8577
SRR27421012.137905	NC_012158.1	21313
SRR27421012.40014	NC_012158.1	31004
SRR27421012.99062	NC_012158.1	19590
SRR27421012.132262	NC_012158.1	9478
SRR27421012.25640	NC_012158.1	10295
SRR27421012.75946	NC_012158.1	6718
SRR27421012.129059	NC_012158.1	6716
SRR27421012.175474	NC_012158.1	16593
SRR27421012.159690	NC_012158.1	7203
SRR27421012.47969	NC_012158.1	5489
SRR27421012.45043	NC_012158.1	5906
SRR27421012.104034	NC_012158.1	8394
SRR27421012.94898	NC_012158.1	9981
SRR27421012.98855	NC_012158.1	10171
SRR27421012.20104	NC_012158.1	5238
SRR27421012.92845	NC_012158.1	11062
SRR27421012.62491	NC_012158.1	9548
SRR27421012.78249	NC_012158.1	9832
SRR27421012.1916	NC_012158.1	8152
SRR27421012.150036	NC_012158.1	18001
SRR27421012.39179	NC_012158.1	32246
SRR27421012.124239	NC_012158.1	9300
SRR27421012.121236	NC_012158.1	21067
SRR27421012.120884	NC_012158.1	6024
SRR27421012.57308	NC_012158.1	5168
SRR27421012.79245	NC_012158.1	9740
SRR27421012.90623	NC_012158.1	20251
SRR27421012.141587	NC_012158.1	6683
SRR27421012.162337	NC_012158.1	9406
SRR27421012.159300	NC_012158.1	9648
SRR27421012.1453	NC_012158.1	6934
SRR27421012.145853	NC_012158.1	15022
SRR27421012.79087	NC_012158.1	7747
SRR27421012.145677	NC_012158.1	14343
SRR27421012.123418	NC_012158.1	6690
SRR27421012.162350	NC_012158.1	14107
SRR27421012.173118	NC_012158.1	13570
SRR27421012.169709	NC_012158.1	9471
SRR27421012.33638	NC_012158.1	24488
SRR27421012.66841	NC_012158.1	9461
SRR27421012.176894	NC_012158.1	11705
SRR27421012.169128	NC_012158.1	6102
SRR27421012.162224	NC_012158.1	18805
SRR27421012.17315	NC_012158.1	17595
SRR27421012.167755	NC_012158.1	7099
SRR27421012.173812	NC_012158.1	5359
SRR27421012.164105	NC_012158.1	9804
SRR27421012.40376	NC_012158.1	9372
SRR27421012.164022	NC_012158.1	9276
SRR27421012.18136	NC_012158.1	10149
SRR27421012.130190	NC_012158.1	6699
SRR27421012.134257	NC_012158.1	5175
SRR27421012.163741	NC_012158.1	8561
SRR27421012.74572	NC_012158.1	10110
SRR27421012.90295	NC_012158.1	7970
SRR27421012.144330	NC_012158.1	10068
SRR27421012.117717	NC_012158.1	8111
SRR27421012.121119	NC_012158.1	8091
SRR27421012.167290	NC_012158.1	10725
SRR27421012.144134	NC_012158.1	15283
SRR27421012.44705	NC_012158.1	6935
SRR27421012.62643	NC_012158.1	18621
SRR27421012.60621	NC_012158.1	12472
SRR27421012.4997	NC_012158.1	8041
SRR27421012.76241	NC_012158.1	19742
SRR27421012.19886	NC_012158.1	11784
SRR27421012.106031	NC_012158.1	9113
SRR27421012.168993	NC_012158.1	11483
SRR27421012.16492	NC_012158.1	20731
SRR27421012.139202	NC_012158.1	17074
SRR27421012.94858	NC_012158.1	6608
SRR27421012.25413	NC_012158.1	9028
SRR27421012.4925	NC_012158.1	9555
SRR27421012.163053	NC_012158.1	6891
SRR27421012.168055	NC_012158.1	14190
SRR27421012.19142	NC_012158.1	5693
SRR27421012.127510	NC_012158.1	10505
SRR27421012.149141	NC_012158.1	9391
SRR27421012.157504	NC_012158.1	14197
SRR27421012.17854	NC_012158.1	7019
SRR27421012.57119	NC_012158.1	9725
SRR27421012.14487	NC_012158.1	6214
SRR27421012.141490	NC_012158.1	10029
SRR27421012.10022	NC_012158.1	9500
SRR27421012.106755	NC_012158.1	7486
SRR27421012.107330	NC_012158.1	11812
SRR27421012.16721	NC_012158.1	5154
SRR27421012.46139	NC_012158.1	13570
SRR27421012.70772	NC_012158.1	7124
SRR27421012.71682	NC_012158.1	7113
SRR27421012.37861	NC_012158.1	7453
SRR27421012.79760	NC_012158.1	5536
SRR27421012.30150	NC_012158.1	6794
SRR27421012.12472	NC_012158.1	7269
SRR27421012.157618	NC_012158.1	5969
SRR27421012.92219	NC_012158.1	5651
SRR27421012.118334	NC_012158.1	5077
SRR27421012.99088	NC_012158.1	5214
SRR27421012.133580	NC_012158.1	5225
SRR27421012.248	NC_012152.1	9879
SRR27421012.606	NC_012152.1	7241
SRR27421012.677	NC_012152.1	9444
SRR27421012.1016	NC_012152.1	6128
SRR27421012.1273	NC_012152.1	12868
SRR27421012.1287	NC_012152.1	6804
SRR27421012.1305	NC_012152.1	9739
SRR27421012.1619	NC_012152.1	6840
SRR27421012.1885	NC_012152.1	18654
SRR27421012.2265	NC_012152.1	6877
SRR27421012.2335	NC_012152.1	7291
SRR27421012.3224	NC_012152.1	6249
SRR27421012.3303	NC_012152.1	9493
SRR27421012.3385	NC_012152.1	20704
SRR27421012.3536	NC_012152.1	7285
SRR27421012.3688	NC_012152.1	7023
SRR27421012.3855	NC_012152.1	9487
SRR27421012.3864	NC_012152.1	8544
SRR27421012.4327	NC_012152.1	7030
SRR27421012.4330	NC_012152.1	9471
SRR27421012.4341	NC_012152.1	13029
SRR27421012.4558	NC_012152.1	6511
SRR27421012.4625	NC_012152.1	9534
SRR27421012.5241	NC_012152.1	6074
SRR27421012.5319	NC_012152.1	8259
SRR27421012.5928	NC_012152.1	8897
SRR27421012.6032	NC_012152.1	20006
SRR27421012.6124	NC_012152.1	7628
SRR27421012.6270	NC_012152.1	7719
SRR27421012.6278	NC_012152.1	7316
SRR27421012.6504	NC_012152.1	8312
SRR27421012.6513	NC_012152.1	6228
SRR27421012.6645	NC_012152.1	12836
SRR27421012.6685	NC_012152.1	6742
SRR27421012.7044	NC_012152.1	6862
SRR27421012.7394	NC_012152.1	6758
SRR27421012.7652	NC_012152.1	7471
SRR27421012.7709	NC_012152.1	7291
SRR27421012.8372	NC_012152.1	6073
SRR27421012.8832	NC_012152.1	7906
SRR27421012.9415	NC_012152.1	6858
SRR27421012.9892	NC_012152.1	9949
SRR27421012.11074	NC_012152.1	6678
SRR27421012.11107	NC_012152.1	6528
SRR27421012.11737	NC_012152.1	7145
SRR27421012.11745	NC_012152.1	8610
SRR27421012.11905	NC_012152.1	8026
SRR27421012.12177	NC_012152.1	7158
SRR27421012.12490	NC_012152.1	6851
SRR27421012.12675	NC_012152.1	11186
SRR27421012.12997	NC_012152.1	7232
SRR27421012.13058	NC_012152.1	9569
SRR27421012.13276	NC_012152.1	6436
SRR27421012.13322	NC_012152.1	9608
SRR27421012.13402	NC_012152.1	9222
SRR27421012.13849	NC_012152.1	16345
SRR27421012.14042	NC_012152.1	7002
SRR27421012.14433	NC_012152.1	8408
SRR27421012.14992	NC_012152.1	9590
SRR27421012.15539	NC_012152.1	6589
SRR27421012.15655	NC_012152.1	9619
SRR27421012.15997	NC_012152.1	9751
SRR27421012.16018	NC_012152.1	6123
SRR27421012.16776	NC_012152.1	9472
SRR27421012.16894	NC_012152.1	6698
SRR27421012.16910	NC_012152.1	6937
SRR27421012.17062	NC_012152.1	6461
SRR27421012.17236	NC_012152.1	9816
SRR27421012.17293	NC_012152.1	6785
SRR27421012.17494	NC_012152.1	23558
SRR27421012.17616	NC_012152.1	7405
SRR27421012.17718	NC_012152.1	9502
SRR27421012.17743	NC_012152.1	8242
SRR27421012.17786	NC_012152.1	20593
SRR27421012.17965	NC_012152.1	8855
SRR27421012.18010	NC_012152.1	6955
SRR27421012.18085	NC_012152.1	7087
SRR27421012.18209	NC_012152.1	9790
SRR27421012.18769	NC_012152.1	6498
SRR27421012.18808	NC_012152.1	6906
SRR27421012.19945	NC_012152.1	8870
SRR27421012.20220	NC_012152.1	6251
SRR27421012.20373	NC_012152.1	9341
SRR27421012.20433	NC_012152.1	17368
SRR27421012.22244	NC_012152.1	6901
SRR27421012.22300	NC_012152.1	10469
SRR27421012.22828	NC_012152.1	9582
SRR27421012.23852	NC_012152.1	6208
SRR27421012.24355	NC_012152.1	9391
SRR27421012.25436	NC_012152.1	6120
SRR27421012.25536	NC_012152.1	10293
SRR27421012.25924	NC_012152.1	9506
SRR27421012.26221	NC_012152.1	6844
SRR27421012.26429	NC_012152.1	8360
SRR27421012.26616	NC_012152.1	8831
SRR27421012.26640	NC_012152.1	13373
SRR27421012.26659	NC_012152.1	6328
SRR27421012.27727	NC_012152.1	7072
SRR27421012.27896	NC_012152.1	9290
SRR27421012.29013	NC_012152.1	9814
SRR27421012.29521	NC_012152.1	10913
SRR27421012.29811	NC_012152.1	6575
SRR27421012.29838	NC_012152.1	9214
SRR27421012.30591	NC_012152.1	9694
SRR27421012.30747	NC_012152.1	6024
SRR27421012.30841	NC_012152.1	6532
SRR27421012.30892	NC_012152.1	9231
SRR27421012.31208	NC_012152.1	6829
SRR27421012.31438	NC_012152.1	9710
SRR27421012.32207	NC_012152.1	7217
SRR27421012.32407	NC_012152.1	7061
SRR27421012.32602	NC_012152.1	9490
SRR27421012.32799	NC_012152.1	9826
SRR27421012.32998	NC_012152.1	6814
SRR27421012.33266	NC_012152.1	9470
SRR27421012.33590	NC_012152.1	6992
SRR27421012.33671	NC_012152.1	6830
SRR27421012.33838	NC_012152.1	9946
SRR27421012.34010	NC_012152.1	7594
SRR27421012.34970	NC_012152.1	12785
SRR27421012.35684	NC_012152.1	6848
SRR27421012.35805	NC_012152.1	6603
SRR27421012.35920	NC_012152.1	8915
SRR27421012.35929	NC_012152.1	5690
SRR27421012.36206	NC_012152.1	10634
SRR27421012.36231	NC_012152.1	9266
SRR27421012.36275	NC_012152.1	7051
SRR27421012.36280	NC_012152.1	6841
SRR27421012.36873	NC_012152.1	5376
SRR27421012.36879	NC_012152.1	6811
SRR27421012.37249	NC_012152.1	10064
SRR27421012.37587	NC_012152.1	10177
SRR27421012.38030	NC_012152.1	9708
SRR27421012.38203	NC_012152.1	5180
SRR27421012.38802	NC_012152.1	9931
SRR27421012.39150	NC_012152.1	16499
SRR27421012.39347	NC_012152.1	9405
SRR27421012.39524	NC_012152.1	10344
SRR27421012.39770	NC_012152.1	10038
SRR27421012.40104	NC_012152.1	6907
SRR27421012.40723	NC_012152.1	6016
SRR27421012.40792	NC_012152.1	13232
SRR27421012.41010	NC_012152.1	6311
SRR27421012.41269	NC_012152.1	9596
SRR27421012.41357	NC_012152.1	8044
SRR27421012.41691	NC_012152.1	6699
SRR27421012.41716	NC_012152.1	7104
SRR27421012.42319	NC_012152.1	10338
SRR27421012.42501	NC_012152.1	11749
SRR27421012.42575	NC_012152.1	5655
SRR27421012.42621	NC_012152.1	33313
SRR27421012.42795	NC_012152.1	9787
SRR27421012.42968	NC_012152.1	9858
SRR27421012.43058	NC_012152.1	12160
SRR27421012.43303	NC_012152.1	10375
SRR27421012.43650	NC_012152.1	6479
SRR27421012.43696	NC_012152.1	7203
SRR27421012.44025	NC_012152.1	9423
SRR27421012.44645	NC_012152.1	9682
SRR27421012.44654	NC_012152.1	7676
SRR27421012.44785	NC_012152.1	10819
SRR27421012.44799	NC_012152.1	9597
SRR27421012.45017	NC_012152.1	10406
SRR27421012.45110	NC_012152.1	10006
SRR27421012.45217	NC_012152.1	9400
SRR27421012.45888	NC_012152.1	8517
SRR27421012.45971	NC_012152.1	9643
SRR27421012.46118	NC_012152.1	21497
SRR27421012.46174	NC_012152.1	9472
SRR27421012.46265	NC_012152.1	8216
SRR27421012.46272	NC_012152.1	9082
SRR27421012.46621	NC_012152.1	6069
SRR27421012.47008	NC_012152.1	12685
SRR27421012.47100	NC_012152.1	9459
SRR27421012.47377	NC_012152.1	9547
SRR27421012.47422	NC_012152.1	10563
SRR27421012.47439	NC_012152.1	9772
SRR27421012.47686	NC_012152.1	9443
SRR27421012.47695	NC_012152.1	9357
SRR27421012.47843	NC_012152.1	12527
SRR27421012.48464	NC_012152.1	14829
SRR27421012.49194	NC_012152.1	19183
SRR27421012.49327	NC_012152.1	6807
SRR27421012.50156	NC_012152.1	22824
SRR27421012.50439	NC_012152.1	7348
SRR27421012.50642	NC_012152.1	12061
SRR27421012.50797	NC_012152.1	7782
SRR27421012.51223	NC_012152.1	9547
SRR27421012.51333	NC_012152.1	9994
SRR27421012.51382	NC_012152.1	6510
SRR27421012.51575	NC_012152.1	9391
SRR27421012.52211	NC_012152.1	6082
SRR27421012.52816	NC_012152.1	6682
SRR27421012.52903	NC_012152.1	9193
SRR27421012.53063	NC_012152.1	9626
SRR27421012.53727	NC_012152.1	38304
SRR27421012.54621	NC_012152.1	16187
SRR27421012.54651	NC_012152.1	6646
SRR27421012.55028	NC_012152.1	7083
SRR27421012.56296	NC_012152.1	6412
SRR27421012.56326	NC_012152.1	6961
SRR27421012.56413	NC_012152.1	6999
SRR27421012.56662	NC_012152.1	6998
SRR27421012.56761	NC_012152.1	10547
SRR27421012.56953	NC_012152.1	6526
SRR27421012.57211	NC_012152.1	6412
SRR27421012.58707	NC_012152.1	7824
SRR27421012.59300	NC_012152.1	9544
SRR27421012.59547	NC_012152.1	26630
SRR27421012.59766	NC_012152.1	6472
SRR27421012.59882	NC_012152.1	6707
SRR27421012.60732	NC_012152.1	6762
SRR27421012.61201	NC_012152.1	8780
SRR27421012.61392	NC_012152.1	5956
SRR27421012.61472	NC_012152.1	8496
SRR27421012.61827	NC_012152.1	19304
SRR27421012.61853	NC_012152.1	6456
SRR27421012.61979	NC_012152.1	6514
SRR27421012.61999	NC_012152.1	6295
SRR27421012.62520	NC_012152.1	12156
SRR27421012.62968	NC_012152.1	9123
SRR27421012.62973	NC_012152.1	9743
SRR27421012.63118	NC_012152.1	9784
SRR27421012.63152	NC_012152.1	6839
SRR27421012.63171	NC_012152.1	9942
SRR27421012.63203	NC_012152.1	8937
SRR27421012.64094	NC_012152.1	9479
SRR27421012.64117	NC_012152.1	5245
SRR27421012.64632	NC_012152.1	9672
SRR27421012.64669	NC_012152.1	5821
SRR27421012.64843	NC_012152.1	6324
SRR27421012.65140	NC_012152.1	7721
SRR27421012.65152	NC_012152.1	17179
SRR27421012.65185	NC_012152.1	9740
SRR27421012.65550	NC_012152.1	8098
SRR27421012.65576	NC_012152.1	8190
SRR27421012.65703	NC_012152.1	6849
SRR27421012.65775	NC_012152.1	6728
SRR27421012.66197	NC_012152.1	6936
SRR27421012.66707	NC_012152.1	10030
SRR27421012.66785	NC_012152.1	18048
SRR27421012.66838	NC_012152.1	6637
SRR27421012.67181	NC_012152.1	6606
SRR27421012.67628	NC_012152.1	9876
SRR27421012.67939	NC_012152.1	9712
SRR27421012.68284	NC_012152.1	7193
SRR27421012.68289	NC_012152.1	9954
SRR27421012.68353	NC_012152.1	7974
SRR27421012.68766	NC_012152.1	6867
SRR27421012.68852	NC_012152.1	5727
SRR27421012.69186	NC_012152.1	5039
SRR27421012.69520	NC_012152.1	5143
SRR27421012.69736	NC_012152.1	6611
SRR27421012.70290	NC_012152.1	16792
SRR27421012.70426	NC_012152.1	31337
SRR27421012.70512	NC_012152.1	10154
SRR27421012.70660	NC_012152.1	9734
SRR27421012.70847	NC_012152.1	6188
SRR27421012.71445	NC_012152.1	7150
SRR27421012.71503	NC_012152.1	6237
SRR27421012.72027	NC_012152.1	5606
SRR27421012.72807	NC_012152.1	9930
SRR27421012.72881	NC_012152.1	13978
SRR27421012.72919	NC_012152.1	31176
SRR27421012.73404	NC_012152.1	6749
SRR27421012.73856	NC_012152.1	6387
SRR27421012.74447	NC_012152.1	7125
SRR27421012.75554	NC_012152.1	7459
SRR27421012.75718	NC_012152.1	5788
SRR27421012.75748	NC_012152.1	6683
SRR27421012.75778	NC_012152.1	7446
SRR27421012.75835	NC_012152.1	6130
SRR27421012.75863	NC_012152.1	9448
SRR27421012.75938	NC_012152.1	9366
SRR27421012.76636	NC_012152.1	10485
SRR27421012.77024	NC_012152.1	9028
SRR27421012.77084	NC_012152.1	9521
SRR27421012.77170	NC_012152.1	6922
SRR27421012.77361	NC_012152.1	9093
SRR27421012.77513	NC_012152.1	6687
SRR27421012.77906	NC_012152.1	6373
SRR27421012.78272	NC_012152.1	8969
SRR27421012.78614	NC_012152.1	6824
SRR27421012.79178	NC_012152.1	7554
SRR27421012.79288	NC_012152.1	6599
SRR27421012.79475	NC_012152.1	7422
SRR27421012.80733	NC_012152.1	9425
SRR27421012.81023	NC_012152.1	9739
SRR27421012.81524	NC_012152.1	9237
SRR27421012.81836	NC_012152.1	9623
SRR27421012.82071	NC_012152.1	6180
SRR27421012.82513	NC_012152.1	6878
SRR27421012.82816	NC_012152.1	8472
SRR27421012.82945	NC_012152.1	6767
SRR27421012.83139	NC_012152.1	7123
SRR27421012.83204	NC_012152.1	6651
SRR27421012.83596	NC_012152.1	9584
SRR27421012.83597	NC_012152.1	6573
SRR27421012.83715	NC_012152.1	6289
SRR27421012.84413	NC_012152.1	9447
SRR27421012.84590	NC_012152.1	10019
SRR27421012.84607	NC_012152.1	7890
SRR27421012.84757	NC_012152.1	9108
SRR27421012.84843	NC_012152.1	9097
SRR27421012.84900	NC_012152.1	9653
SRR27421012.85028	NC_012152.1	6476
SRR27421012.85549	NC_012152.1	7225
SRR27421012.85610	NC_012152.1	6622
SRR27421012.85645	NC_012152.1	6648
SRR27421012.85764	NC_012152.1	6870
SRR27421012.85947	NC_012152.1	9672
SRR27421012.86317	NC_012152.1	6828
SRR27421012.86486	NC_012152.1	16099
SRR27421012.86648	NC_012152.1	17654
SRR27421012.87031	NC_012152.1	18110
SRR27421012.87821	NC_012152.1	6906
SRR27421012.87828	NC_012152.1	7127
SRR27421012.87925	NC_012152.1	18280
SRR27421012.88280	NC_012152.1	6648
SRR27421012.88387	NC_012152.1	10063
SRR27421012.88509	NC_012152.1	9831
SRR27421012.88539	NC_012152.1	5127
SRR27421012.88791	NC_012152.1	16814
SRR27421012.89303	NC_012152.1	7010
SRR27421012.89906	NC_012152.1	15237
SRR27421012.90964	NC_012152.1	6757
SRR27421012.91076	NC_012152.1	6108
SRR27421012.91182	NC_012152.1	9455
SRR27421012.91350	NC_012152.1	9814
SRR27421012.91359	NC_012152.1	6773
SRR27421012.91456	NC_012152.1	6319
SRR27421012.91499	NC_012152.1	15296
SRR27421012.91821	NC_012152.1	10075
SRR27421012.92272	NC_012152.1	9325
SRR27421012.92275	NC_012152.1	9541
SRR27421012.92329	NC_012152.1	6764
SRR27421012.92361	NC_012152.1	12694
SRR27421012.92483	NC_012152.1	10681
SRR27421012.93178	NC_012152.1	6937
SRR27421012.93255	NC_012152.1	9722
SRR27421012.93533	NC_012152.1	10112
SRR27421012.93660	NC_012152.1	5555
SRR27421012.94322	NC_012152.1	6579
SRR27421012.94599	NC_012152.1	6693
SRR27421012.94961	NC_012152.1	9541
SRR27421012.95109	NC_012152.1	6767
SRR27421012.95119	NC_012152.1	6677
SRR27421012.96765	NC_012152.1	5674
SRR27421012.97869	NC_012152.1	7907
SRR27421012.98394	NC_012152.1	9682
